iter	Logloss
0	0.6785568872
1	0.6647186505
2	0.6511063099
3	0.639438638
4	0.6274846781
5	0.6166795581
6	0.6060886
7	0.5961351857
8	0.587122656
9	0.5788850013
10	0.570655516
11	0.5635108761
12	0.5558840653
13	0.548496162
14	0.5416610094
15	0.535773029
16	0.52935451
17	0.5241354789
18	0.5189068797
19	0.5134302428
20	0.5087437434
21	0.5043938122
22	0.5003753136
23	0.4961779496
24	0.4919860218
25	0.4882018149
26	0.4847219385
27	0.4811229082
28	0.4784414624
29	0.4752289699
30	0.4721879195
31	0.4691643621
32	0.4667778443
33	0.464152476
34	0.4618143328
35	0.4592104491
36	0.4571142535
37	0.4552614575
38	0.4530721496
39	0.4511361054
40	0.4492589418
41	0.4474094372
42	0.4455418599
43	0.4437314158
44	0.4421012913
45	0.4406898382
46	0.4391211534
47	0.4380784062
48	0.4366816303
49	0.4352070353
50	0.433639696
51	0.4323581799
52	0.4312404107
53	0.4300611089
54	0.4289511143
55	0.4279479434
56	0.4270060503
57	0.4261898369
58	0.4252655091
59	0.4243523566
60	0.4234351701
61	0.4228057422
62	0.4220239157
63	0.4211500323
64	0.4202668431
65	0.419503457
66	0.4188244716
67	0.4179677884
68	0.4171116937
69	0.416305479
70	0.4156259534
71	0.4148280744
72	0.4143067337
73	0.4136872004
74	0.4131430213
75	0.4124821289
76	0.4119329428
77	0.4112829232
78	0.4111120903
79	0.4105364995
80	0.4099389002
81	0.4095856009
82	0.4090219885
83	0.408465205
84	0.4078479836
85	0.4072768622
86	0.4068325461
87	0.4063436038
88	0.4059310285
89	0.4054085434
90	0.4049194126
91	0.4044673091
92	0.4040483938
93	0.4036085157
94	0.4031197614
95	0.4026946057
96	0.4024309667
97	0.4019938698
98	0.4016015248
99	0.4011869597
100	0.4008426013
101	0.4004561943
102	0.4000147608
103	0.3995242948
104	0.3992361851
105	0.3989189763
106	0.3986359201
107	0.3981772636
108	0.3978989266
109	0.3975307981
110	0.3971789655
111	0.3968065172
112	0.3963945977
113	0.3959383558
114	0.3955659494
115	0.3952465604
116	0.394982566
117	0.3947511573
118	0.3943956829
119	0.3941662975
120	0.3938751681
121	0.393625099
122	0.3933990829
123	0.3933369061
124	0.3930588535
125	0.3928325416
126	0.3925510941
127	0.3922535012
128	0.3920742631
129	0.3918435379
130	0.3916129775
131	0.3914433601
132	0.3912409083
133	0.3909991766
134	0.3907641956
135	0.3904988826
136	0.3902494698
137	0.3899829044
138	0.3897201406
139	0.3894260059
140	0.3892359793
141	0.3890351957
142	0.3888949869
143	0.3887072241
144	0.3884041887
145	0.3881922531
146	0.387945225
147	0.3877664148
148	0.3875918143
149	0.3873184895
150	0.3870859518
151	0.3869183381
152	0.3866700632
153	0.3864758772
154	0.3862459887
155	0.3860569504
156	0.3858932709
157	0.3857218378
158	0.385399907
159	0.3852490034
160	0.3851192994
161	0.3849141003
162	0.3846484585
163	0.3843966163
164	0.3842379272
165	0.384044655
166	0.383803742
167	0.383656613
168	0.3834828712
169	0.3832495129
170	0.3831206522
171	0.3828958141
172	0.3828173762
173	0.3826258383
174	0.3824525383
175	0.3823211183
176	0.3821144568
177	0.3819470359
178	0.3818314328
179	0.3816431592
180	0.3814144572
181	0.3812024831
182	0.3809832264
183	0.3808119128
184	0.3806683498
185	0.3804336843
186	0.380420262
187	0.3803021703
188	0.3801195356
189	0.3799805124
190	0.379816677
191	0.3796232456
192	0.3794715433
193	0.3793456977
194	0.3792214497
195	0.3790057913
196	0.378886612
197	0.3787750229
198	0.3785563699
199	0.3783368334
200	0.3782296982
201	0.3781191936
202	0.3779306636
203	0.3777226584
204	0.3775890934
205	0.3774268038
206	0.377243547
207	0.3770384975
208	0.3768637706
209	0.3767496111
210	0.3765776832
211	0.3765662088
212	0.3764501086
213	0.3762660748
214	0.3761034258
215	0.3759220702
216	0.37579621
217	0.3755965227
218	0.3754019583
219	0.3752679895
220	0.3752147776
221	0.374991655
222	0.3748343426
223	0.3746507383
224	0.3744593768
225	0.3742982048
226	0.3741396414
227	0.3740394999
228	0.3738774224
229	0.3737843985
230	0.373707222
231	0.3735810581
232	0.3734065162
233	0.3732962501
234	0.3731730408
235	0.3730262408
236	0.3728667722
237	0.3727020476
238	0.3725800385
239	0.3724223264
240	0.3722010532
241	0.3719625436
242	0.3718322489
243	0.3716296885
244	0.3714979353
245	0.3712617379
246	0.3711004271
247	0.3709463906
248	0.370741879
249	0.3705766629
250	0.3704630979
251	0.370283641
252	0.370083266
253	0.3699997042
254	0.3698375199
255	0.3697311401
256	0.3695411339
257	0.3694265299
258	0.3693013364
259	0.36912416
260	0.3690294749
261	0.3689485821
262	0.3687516075
263	0.368645197
264	0.3684131082
265	0.3682590559
266	0.3680665176
267	0.3679447924
268	0.3677981041
269	0.3677128707
270	0.3676737658
271	0.3675476785
272	0.3673516023
273	0.3671171913
274	0.3669964986
275	0.3668578427
276	0.3666181358
277	0.3664574536
278	0.3663627137
279	0.3662680761
280	0.3661103024
281	0.3659292501
282	0.3657680666
283	0.365615357
284	0.3653907299
285	0.3652337158
286	0.3651269781
287	0.3650546683
288	0.3648272127
289	0.3647560625
290	0.3646447365
291	0.3644751638
292	0.364383419
293	0.3642814213
294	0.3641135998
295	0.3640419192
296	0.363931
297	0.3638359385
298	0.3637502361
299	0.3636552221
300	0.3635353404
301	0.3633963745
302	0.3632819292
303	0.3630621924
304	0.3629582805
305	0.3628810058
306	0.3627843684
307	0.3626852416
308	0.3625723866
309	0.3624022884
310	0.3623274308
311	0.3622539158
312	0.3620925279
313	0.3619847385
314	0.3618845452
315	0.3618128833
316	0.3616598213
317	0.3615562051
318	0.3614686546
319	0.3614130465
320	0.3612881896
321	0.361129788
322	0.3610167626
323	0.360963089
324	0.3608526594
325	0.3607144496
326	0.3606335953
327	0.3604225608
328	0.360323863
329	0.3601105679
330	0.3600318847
331	0.3599575706
332	0.3598293713
333	0.3597026326
334	0.3595305847
335	0.3593958
336	0.3592628803
337	0.3591646389
338	0.3590205371
339	0.3589661244
340	0.3588024055
341	0.3586704884
342	0.3586638533
343	0.3585927791
344	0.358429103
345	0.3582839201
346	0.3581629268
347	0.3580488497
348	0.3579098208
349	0.357853307
350	0.3577581262
351	0.3576519046
352	0.3575066308
353	0.3574401389
354	0.357299237
355	0.3571949462
356	0.3570412578
357	0.3569731713
358	0.356844873
359	0.3567230146
360	0.3565566385
361	0.3564957729
362	0.356379201
363	0.3561080071
364	0.3559961123
365	0.3558640228
366	0.3556861735
367	0.3554310069
368	0.3553154827
369	0.3552225548
370	0.3551152594
371	0.3550326524
372	0.3549420769
373	0.3547621671
374	0.3546204506
375	0.3545102282
376	0.3543599074
377	0.3542475989
378	0.3541853451
379	0.3541057512
380	0.3540045699
381	0.3539102607
382	0.3538234077
383	0.3537060938
384	0.3536358916
385	0.3535163407
386	0.3533839806
387	0.353274846
388	0.3531447246
389	0.353044469
390	0.3528241435
391	0.3527324829
392	0.3526441887
393	0.3525133386
394	0.3524024244
395	0.3522953639
396	0.3522104453
397	0.3520248623
398	0.3519633394
399	0.3518601827
400	0.3516512969
401	0.3515868543
402	0.3514027395
403	0.351218586
404	0.3510793075
405	0.3509206114
406	0.3508681362
407	0.3507905332
408	0.3507291031
409	0.3505973449
410	0.3505328593
411	0.3503421832
412	0.3501819076
413	0.3501055242
414	0.3500473528
415	0.3498982903
416	0.3498356064
417	0.349659869
418	0.3495336936
419	0.3494615027
420	0.3493086399
421	0.3492422338
422	0.3491502036
423	0.3490313991
424	0.3489569227
425	0.3489024521
426	0.3487828298
427	0.3486806344
428	0.348537927
429	0.3484544733
430	0.3482942487
431	0.3482161589
432	0.348088595
433	0.3479127891
434	0.3477768697
435	0.3477040769
436	0.3475630061
437	0.347511732
438	0.3473117536
439	0.3471775535
440	0.3470969751
441	0.3469652008
442	0.3468479323
443	0.3467506849
444	0.3465661525
445	0.3464532669
446	0.3463730415
447	0.3462976955
448	0.3461182205
449	0.346011262
450	0.3459122465
451	0.3457623765
452	0.3456158168
453	0.3455460571
454	0.3454754367
455	0.3453910955
456	0.3453050559
457	0.345162965
458	0.3450466411
459	0.3448977201
460	0.344790904
461	0.3446850789
462	0.3445672112
463	0.3444716185
464	0.3443195095
465	0.3442091807
466	0.3441058982
467	0.3439065155
468	0.3437856353
469	0.3436715783
470	0.3435843811
471	0.3434738277
472	0.3433945364
473	0.3433158925
474	0.34323469
475	0.3431558029
476	0.3430210932
477	0.342921867
478	0.3428082942
479	0.3426846906
480	0.342594241
481	0.3423894374
482	0.342267787
483	0.3421308967
484	0.3420711704
485	0.3419581744
486	0.341884298
487	0.3418002175
488	0.3415964824
489	0.3414984353
490	0.341348323
491	0.3412420848
492	0.3411382155
493	0.3410567797
494	0.3409608764
495	0.3408838906
496	0.3407841519
497	0.3406738692
498	0.3405690392
499	0.3404676476
500	0.3403356413
501	0.3401788534
502	0.3400806011
503	0.3399824218
504	0.3399103588
505	0.339760466
506	0.3396587186
507	0.3394897092
508	0.3393248906
509	0.339257319
510	0.3391457148
511	0.3390630033
512	0.3389779574
513	0.3389183115
514	0.33881133
515	0.3386665034
516	0.3385813396
517	0.338421737
